TOTAL	1143
CODE	10	E712
CODE	8	F811
CODE	2	C401
CODE	83	UP045
CODE	160	I001
CODE	1	B018
CODE	2	C408
CODE	4	F541
CODE	5	UP015
CODE	3	C420
CODE	14	E702
CODE	8	B904
CODE	25	B007
CODE	154	UP035
CODE	17	UP037
CODE	99	F401
CODE	1	W292
CODE	16	W293
CODE	6	B023
CODE	436	UP006
CODE	4	E401
CODE	51	E402
CODE	2	B028
CODE	3	C416
CODE	1	E741
CODE	28	F841
FILE	2	src/scripts/run_phase2_b_cert_1_v2.py
FILE	1	notebooks/30_sequence_models.ipynb:cell 2
FILE	10	notebooks/30_sequence_models.ipynb:cell 3
FILE	5	notebooks/hkadh.py
FILE	2	src/scripts/run_phase2_certificate_audit.py
FILE	1	src/uais_v/data/nlp_preprocess.py
FILE	1	notebooks/100_fusion_and_dashboard.ipynb:cell 2
FILE	17	src/uais/fusion/attention/dim_reduction.py
FILE	1	dashboard/app_streamlit.py
FILE	4	notebooks/100_fusion_and_dashboard.ipynb:cell 3
FILE	23	src/uais/fusion/attention/reliability_estimator.py
FILE	3	src/elara/evaluation/ensemble_inference.py
FILE	14	src/uais/fusion/attention/leakage_guard.py
FILE	4	src/uais/utils/stats.py
FILE	2	src/uais/vision/train_vision_model.py
FILE	3	src/uais/data/load_cyber_data.py
FILE	2	notebooks/100_fusion_and_dashboard.ipynb:cell 7
FILE	1	src/elara/evaluation/__init__.py
FILE	2	src/scripts/family_d_v2_inference.py
FILE	1	tests/test_phase1_1_primary_story_consistency.py
FILE	9	src/uais/sequence/build_sequences.py
FILE	7	src/scripts/run_phase2_family_d_v2_cell.py
FILE	14	src/uais/sequence/train_lstm.py
FILE	1	src/uais/explainability/shap_explainer.py
FILE	1	notebooks/95_data_quickstart.ipynb:cell 2
FILE	5	notebooks/60_evaluation_drift.ipynb:cell 1
FILE	1	notebooks/95_data_quickstart.ipynb:cell 4
FILE	7	src/uais/supervised/train_fraud_supervised.py
FILE	13	src/uais/sequence/train_gru.py
FILE	1	notebooks/95_data_quickstart.ipynb:cell 6
FILE	8	tests/test_holm_bonferroni.py
FILE	6	src/uais/vision/train_autoencoder_vision.py
FILE	17	src/uais/sequence/ablation.py
FILE	4	src/scripts/prepare_mvtec_loco_fusion_benchmark.py
FILE	1	src/scripts/run_phase2_family_a_cell.py
FILE	1	notebooks/95_data_quickstart.ipynb:cell 8
FILE	1	src/uais/explainability/vision_gradcam.py
FILE	2	src/uais/reporting/make_tables.py
FILE	1	src/uais/features/cyber_features.py
FILE	6	src/scripts/run_phase2_powered_audited_pilot.py
FILE	2	src/scripts/run_phase2_b_mech_1_clean_arm.py
FILE	3	dashboard/components/overview_tab.py
FILE	2	tests/test_reliability_estimator.py
FILE	1	tests/test_family_d_v2_manifest_no_placeholders.py
FILE	2	src/scripts/run_phase2_family_d_v2_inference.py
FILE	2	src/scripts/run_fusion_experiment.py
FILE	3	notebooks/22_unsupervised_behavior.ipynb:cell 1
FILE	12	src/scripts/prepare_realfusion_la_benchmark.py
FILE	1	tests/test_phase2_prediction_archive_schema.py
FILE	7	src/uais/nlp/train_transformer_text.py
FILE	3	src/uais/fusion/attention/causal_attribution.py
FILE	6	src/uais/data/load_datasets.py
FILE	2	tests/test_nlp_tiny.py
FILE	7	notebooks/40_fusion_model.ipynb:cell 1
FILE	2	src/elara/family_b/mixture_shift.py
FILE	1	notebooks/40_fusion_model.ipynb:cell 2
FILE	1	src/scripts/family_d_v2_write_partition_manifest.py
FILE	9	notebooks/50_explainability.ipynb:cell 1
FILE	1	src/scripts/family_d_v2_download_eyecandies.py
FILE	1	src/scripts/generate_craf_paper_assets.py
FILE	3	src/uais/data/load_fraud_data.py
FILE	7	src/uais/supervised/train_cyber_supervised.py
FILE	9	src/uais/generative/train_wgan.py
FILE	4	tests/test_counterfactual_explainer.py
FILE	2	src/uais/utils/config_loader.py
FILE	1	tests/test_phase2_rga_v2_no_test_tuning.py
FILE	1	notebooks/97_feature_ablation.ipynb:cell 5
FILE	4	src/uais/anomaly/train_lof.py
FILE	5	notebooks/01_eda_fraud.ipynb:cell 1
FILE	2	tests/test_mvtec3d_benchmark.py
FILE	5	src/scripts/run_phase2_mixture_shift.py
FILE	1	notebooks/97_feature_ablation.ipynb:cell 7
FILE	3	src/pipeline/build_features.py
FILE	1	src/scripts/family_d_v2_schema_verify.py
FILE	1	notebooks/97_feature_ablation.ipynb:cell 9
FILE	2	notebooks/99_integration_overview.ipynb:cell 2
FILE	2	src/uais/vision/vision_utils.py
FILE	2	src/uais/features/cert_behavior_features.py
