study,dataset,design,arm,cluster_unit,n_cells,n_clusters,accuracy_policy_percent,oracle_regret_pp,weighted_loss_5_pp,adapt,freeze,abstain,harmful_accepted_count,nonpositive_accepted_count,nonpositive_acceptance_conditional,helpful_opportunities_missed,cell_inclusion,simultaneous_group_inclusion
shared_predictor_retrospective,cifar10c/eata,environment,always_adapt,environment,2160,6,79.89921290289472,0.3276389064612212,1.6381945323061058,2160,0,0,539,559,0.2587962962962963,0,null,null
shared_predictor_retrospective,cifar10c/eata,environment,always_freeze,environment,2160,6,67.09314822046845,13.133703588887496,13.133703588887496,0,2160,0,0,0,null,1601,null,null
shared_predictor_retrospective,cifar10c/eata,environment,conditional_risk0.1,environment,2160,6,67.09314822046845,13.133703588887496,13.133703588887496,0,0,2160,0,0,null,1601,null,null
shared_predictor_retrospective,cifar10c/eata,environment,conditional_risk0.2,environment,2160,6,77.0579166351645,3.1689351741914393,3.176527746297695,1023,777,360,7,11,0.010752688172043012,589,null,null
shared_predictor_retrospective,cifar10c/eata,environment,constant_cell_alpha0.05,environment,2160,6,80.0059258910241,0.22092591833185266,0.22092591833185266,1152,62,946,0,0,0.0,449,0.5833333333333334,0.49537037037037035
shared_predictor_retrospective,cifar10c/eata,environment,constant_cell_alpha0.1,environment,2160,6,80.0730323681125,0.15381944124345426,0.15557869440979427,1217,101,842,1,1,0.0008216926869350862,385,0.5435185185185185,0.4212962962962963
shared_predictor_retrospective,cifar10c/eata,environment,constant_cell_alpha0.2,environment,2160,6,80.15541660840864,0.07143520094730237,0.0766203745647713,1341,162,657,4,4,0.002982848620432513,264,0.49166666666666664,0.27314814814814814
shared_predictor_retrospective,cifar10c/eata,environment,constant_group_alpha0.05,environment,2160,6,79.66784721447362,0.5590045948823293,0.5590045948823293,984,7,1169,0,0,0.0,617,0.6458333333333334,0.5925925925925926
shared_predictor_retrospective,cifar10c/eata,environment,constant_group_alpha0.1,environment,2160,6,79.92618053599641,0.30067127335954597,0.30067127335954597,1111,29,1020,0,0,0.0,490,0.6189814814814815,0.5694444444444444
shared_predictor_retrospective,cifar10c/eata,environment,constant_group_alpha0.2,environment,2160,6,80.048680515201,0.17817129415494423,0.17817129415494423,1188,48,924,0,0,0.0,413,0.5893518518518519,0.49074074074074076
shared_predictor_retrospective,cifar10c/eata,environment,environment_max_alpha0.05,environment,2160,6,67.09314822046845,13.133703588887496,13.133703588887496,0,0,2160,0,0,null,1601,null,null
shared_predictor_retrospective,cifar10c/eata,environment,environment_max_alpha0.1,environment,2160,6,67.09314822046845,13.133703588887496,13.133703588887496,0,0,2160,0,0,null,1601,null,null
shared_predictor_retrospective,cifar10c/eata,environment,environment_max_alpha0.2,environment,2160,6,67.09314822046845,13.133703588887496,13.133703588887496,0,0,2160,0,0,null,1601,null,null
shared_predictor_retrospective,cifar10c/eata,environment,fixed_margin_harm1,environment,2160,6,80.19736106472986,0.02949074462608055,0.06245372471985994,1545,433,182,45,53,0.0343042071197411,109,null,null
shared_predictor_retrospective,cifar10c/eata,environment,fixed_margin_harm20,environment,2160,6,80.16844902877455,0.058402780581403656,0.06599535268765909,1380,212,568,7,11,0.007971014492753623,232,null,null
shared_predictor_retrospective,cifar10c/eata,environment,fixed_margin_harm5,environment,2160,6,80.16868051003527,0.058171299320680124,0.06631943086783092,1382,271,507,8,12,0.008683068017366137,231,null,null
shared_predictor_retrospective,cifar10c/eata,environment,point,environment,2160,6,80.19631937698082,0.03053243237513083,0.10766213414845643,1644,516,0,99,108,0.06569343065693431,65,null,null
shared_predictor_retrospective,cifar10c/eata,environment,scaled_cell_alpha0.05,environment,2160,6,80.12027771384628,0.1065740955096704,0.10851853147700981,1293,101,766,2,2,0.0015467904098994587,310,0.5583333333333333,0.375
shared_predictor_retrospective,cifar10c/eata,environment,scaled_cell_alpha0.1,environment,2160,6,80.13740734645613,0.08944446289980852,0.09138889886714793,1315,148,697,2,2,0.001520912547528517,288,0.5166666666666667,0.2361111111111111
shared_predictor_retrospective,cifar10c/eata,environment,scaled_cell_alpha0.2,environment,2160,6,80.16618050358913,0.060671305766812074,0.06372684957804503,1374,225,561,5,7,0.005094614264919942,234,0.44537037037037036,0.09722222222222222
shared_predictor_retrospective,cifar10c/sar,environment,always_adapt,environment,2160,6,81.10666669077344,0.03354167496716535,0.16770837483582673,2160,0,0,207,224,0.1037037037037037,0,null,null
shared_predictor_retrospective,cifar10c/sar,environment,always_freeze,environment,2160,6,67.09314822046845,14.04706014527215,14.04706014527215,0,2160,0,0,0,null,1936,null,null
shared_predictor_retrospective,cifar10c/sar,environment,conditional_risk0.1,environment,2160,6,67.09314822046845,14.04706014527215,14.04706014527215,0,0,2160,0,0,null,1936,null,null
shared_predictor_retrospective,cifar10c/sar,environment,conditional_risk0.2,environment,2160,6,81.09814819914324,0.04206016659736633,0.05567129563402247,1764,396,0,25,28,0.015873015873015872,200,null,null
shared_predictor_retrospective,cifar10c/sar,environment,constant_cell_alpha0.05,environment,2160,6,80.99576392935381,0.1444444363867795,0.1444444363867795,1460,0,700,0,0,0.0,476,0.5550925925925926,0.4027777777777778
shared_predictor_retrospective,cifar10c/sar,environment,constant_cell_alpha0.1,environment,2160,6,81.01162041502971,0.1285879507108971,0.12914349911389528,1493,0,667,1,2,0.0013395847287340924,445,0.5050925925925925,0.32407407407407407
shared_predictor_retrospective,cifar10c/sar,environment,constant_cell_alpha0.2,environment,2160,6,81.05872688194115,0.08148148379943988,0.08379630744457245,1607,0,553,5,6,0.00373366521468575,335,0.4439814814814815,0.19444444444444445
