benchmark,protocol,method,seed,validation_probe_auc,borderline_flag,flip_would_have_been_applied_under_old_logic,raw_test_roc_auc,diagnostic_flipped_test_roc_auc,raw_test_pr_auc,diagnostic_flipped_test_pr_auc,primary_metrics_use_flip
MVTec 3D-AD,PatchCore canonical one-class,static_attention,42,0.4940361177170036,True,True,,,,,False
MVTec 3D-AD,PatchCore canonical one-class,static_attention,43,0.46943742568370983,True,True,,,,,False
MVTec 3D-AD,PatchCore canonical one-class,static_attention,44,0.5038087098692033,True,False,,,,,False
MVTec 3D-AD,PatchCore canonical one-class,static_attention,45,0.5315101070154578,True,False,,,,,False
MVTec 3D-AD,PatchCore canonical one-class,static_attention,46,0.4810679250891795,True,True,,,,,False
MVTec LOCO-AD,PatchCore canonical one-class,static_attention,42,0.5004314063848145,True,False,,,,,False
MVTec LOCO-AD,PatchCore canonical one-class,static_attention,43,0.5035267471958587,True,False,,,,,False
MVTec LOCO-AD,PatchCore canonical one-class,static_attention,44,0.519823123382226,True,False,,,,,False
MVTec LOCO-AD,PatchCore canonical one-class,static_attention,45,0.5383520276100087,True,False,,,,,False
MVTec LOCO-AD,PatchCore canonical one-class,static_attention,46,0.47751294219154444,True,True,,,,,False
VisA,RGB+edge canonical one-class,static_attention,42,0.505203410907799,True,False,,,,,False
VisA,RGB+edge canonical one-class,static_attention,43,0.4828051163616983,True,True,,,,,False
VisA,RGB+edge canonical one-class,static_attention,44,0.4823846746017646,True,True,,,,,False
VisA,RGB+edge canonical one-class,static_attention,45,0.48492153727719545,True,True,,,,,False
VisA,RGB+edge canonical one-class,static_attention,46,0.49495647539527443,True,True,,,,,False
