corruption,severity,frozen,tent,eata,sar,kga,oracle
brightness,1,0.8625,0.8575,0.8563,0.8588,0.8575,0.8650
brightness,2,0.8437,0.8638,0.8638,0.8650,0.8638,0.8675
brightness,3,0.8037,0.8375,0.8375,0.8387,0.8375,0.8388
brightness,4,0.7313,0.8175,0.8175,0.8150,0.8188,0.8163
brightness,5,0.6900,0.7913,0.7938,0.7950,0.7913,0.7987
contrast,1,0.7188,0.8312,0.8312,0.8350,0.8312,0.8313
contrast,2,0.5587,0.8225,0.8213,0.8225,0.8200,0.8200
contrast,3,0.3250,0.7900,0.7925,0.7925,0.7900,0.7912
contrast,4,0.2225,0.7275,0.7288,0.7300,0.7263,0.7262
contrast,5,0.1600,0.6112,0.6075,0.6087,0.6137,0.6012
defocus_blur,1,0.2637,0.6825,0.6800,0.6812,0.6825,0.6762
defocus_blur,2,0.2075,0.5425,0.5438,0.5438,0.5400,0.5400
defocus_blur,3,0.2037,0.3888,0.3862,0.3975,0.3888,0.3850
defocus_blur,4,0.1763,0.3000,0.3000,0.3025,0.3000,0.3050
defocus_blur,5,0.1825,0.2650,0.2637,0.2613,0.2612,0.2750
elastic_transform,1,0.2438,0.5275,0.5275,0.5300,0.5275,0.5250
elastic_transform,2,0.1788,0.4363,0.4400,0.4462,0.4363,0.4525
elastic_transform,3,0.1675,0.4012,0.4012,0.4050,0.4012,0.4000
elastic_transform,4,0.1437,0.4075,0.4075,0.4125,0.4075,0.4100
elastic_transform,5,0.1512,0.3475,0.3462,0.3525,0.3513,0.3512
frost,1,0.7250,0.8038,0.8050,0.8063,0.8038,0.7962
frost,2,0.5875,0.7600,0.7625,0.7612,0.7612,0.7625
frost,3,0.5463,0.6850,0.6850,0.6863,0.6838,0.6975
frost,4,0.4925,0.7050,0.7050,0.7037,0.7050,0.7063
frost,5,0.4363,0.6400,0.6425,0.6437,0.6400,0.6587
gaussian_noise,1,0.4875,0.7412,0.7400,0.7412,0.7387,0.7387
gaussian_noise,2,0.2750,0.6988,0.6988,0.7000,0.7000,0.7013
gaussian_noise,3,0.1438,0.5938,0.5950,0.5950,0.5925,0.5925
gaussian_noise,4,0.1000,0.4350,0.4350,0.4325,0.4363,0.4412
gaussian_noise,5,0.0888,0.3050,0.3038,0.3013,0.3050,0.3013
impulse_noise,1,0.6150,0.7687,0.7700,0.7687,0.7687,0.7750
impulse_noise,2,0.3700,0.6825,0.6825,0.6825,0.6825,0.6875
impulse_noise,3,0.1975,0.6050,0.6050,0.6038,0.6075,0.6225
impulse_noise,4,0.1100,0.4750,0.4787,0.4850,0.4763,0.4837
impulse_noise,5,0.0825,0.3350,0.3350,0.3350,0.3350,0.3313
jpeg_compression,1,0.6763,0.7300,0.7300,0.7312,0.7300,0.7350
jpeg_compression,2,0.6388,0.6600,0.6587,0.6612,0.6625,0.6625
jpeg_compression,3,0.6075,0.6550,0.6537,0.6562,0.6537,0.6575
jpeg_compression,4,0.5088,0.5725,0.5700,0.5700,0.5725,0.5675
jpeg_compression,5,0.4600,0.5012,0.5012,0.5012,0.5012,0.5000
motion_blur,1,0.4950,0.7825,0.7837,0.7850,0.7837,0.7825
motion_blur,2,0.3650,0.6662,0.6650,0.6637,0.6662,0.6750
motion_blur,3,0.2787,0.5750,0.5737,0.5750,0.5738,0.5900
motion_blur,4,0.2550,0.4900,0.4912,0.4887,0.4912,0.5025
motion_blur,5,0.2250,0.4563,0.4500,0.4462,0.4563,0.4762
pixelate,1,0.4288,0.7188,0.7200,0.7212,0.7163,0.7200
pixelate,2,0.3725,0.6512,0.6513,0.6538,0.6500,0.6538
pixelate,3,0.3062,0.5700,0.5738,0.5763,0.5725,0.5713
pixelate,4,0.2675,0.4875,0.4850,0.4875,0.4887,0.4863
pixelate,5,0.2888,0.4050,0.4037,0.4062,0.4050,0.4100
shot_noise,1,0.4925,0.7787,0.7762,0.7787,0.7775,0.7837
shot_noise,2,0.2537,0.6538,0.6550,0.6588,0.6538,0.6687
shot_noise,3,0.1550,0.5362,0.5375,0.5487,0.5337,0.5450
shot_noise,4,0.1250,0.4000,0.3975,0.3975,0.3975,0.4038
shot_noise,5,0.1200,0.3025,0.3050,0.3062,0.3000,0.3000
snow,1,0.7700,0.7825,0.7812,0.7788,0.7825,0.7812
snow,2,0.5775,0.6863,0.6850,0.6850,0.6850,0.6900
snow,3,0.6612,0.7162,0.7163,0.7112,0.7175,0.7100
snow,4,0.5737,0.6825,0.6813,0.6788,0.6825,0.6800
snow,5,0.4588,0.5975,0.5962,0.5975,0.5975,0.5975
zoom_blur,1,0.7600,0.8775,0.8787,0.8762,0.8762,0.8788
zoom_blur,2,0.7075,0.8475,0.8475,0.8487,0.8475,0.8525
zoom_blur,3,0.6737,0.8300,0.8287,0.8275,0.8287,0.8263
zoom_blur,4,0.6350,0.8087,0.8100,0.8100,0.8075,0.8138
zoom_blur,5,0.5575,0.7788,0.7763,0.7775,0.7800,0.7850
