split,domain,candidate,n,mean_B,base_rate_harmful,frac_helpful,regime,harm_AUC,detect
source(RealWorld/val),Real_World,conservative,2,0.0,0.0,0.0,mixed,,undetectable
source(RealWorld/val),Real_World,eata_episodic_aggressive,2,-0.0625,0.5,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,eata_episodic_mild,2,-0.0625,0.5,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,eata_online_aggressive,2,-0.0625,0.5,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,eata_online_mild,2,-0.0625,0.5,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,labelshift,2,-0.7083,1.0,0.0,harmful-dominated,,undetectable
source(RealWorld/val),Real_World,sar_episodic_aggressive,2,-0.0625,0.5,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,sar_episodic_mild,2,-0.0625,0.5,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,sar_online_aggressive,2,-0.0625,0.5,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,sar_online_mild,2,-0.0625,0.5,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,tent_episodic_aggressive,2,-0.0625,0.5,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,tent_episodic_mild,2,-0.0625,0.5,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,tent_online_aggressive,2,-0.0625,0.5,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,tent_online_mild,2,-0.0625,0.5,0.0,mixed,1.0,detectable
target/val,Art,conservative,2,-0.0208,0.5,0.0,mixed,1.0,detectable
target/val,Art,eata_episodic_aggressive,2,0.0208,0.5,0.5,mixed,1.0,detectable
target/val,Art,eata_episodic_mild,2,0.0208,0.5,0.5,mixed,1.0,detectable
target/val,Art,eata_online_aggressive,2,0.0208,0.5,0.5,mixed,1.0,detectable
target/val,Art,eata_online_mild,2,0.0208,0.5,0.5,mixed,1.0,detectable
target/val,Art,labelshift,2,-0.5625,1.0,0.0,harmful-dominated,,undetectable
target/val,Art,sar_episodic_aggressive,2,0.0417,0.5,0.5,mixed,1.0,detectable
target/val,Art,sar_episodic_mild,2,0.0417,0.5,0.5,mixed,1.0,detectable
target/val,Art,sar_online_aggressive,2,0.0208,0.5,0.5,mixed,1.0,detectable
target/val,Art,sar_online_mild,2,0.0208,0.5,0.5,mixed,1.0,detectable
target/val,Art,tent_episodic_aggressive,2,0.0208,0.5,0.5,mixed,1.0,detectable
target/val,Art,tent_episodic_mild,2,0.0208,0.5,0.5,mixed,1.0,detectable
target/val,Art,tent_online_aggressive,2,0.0208,0.5,0.5,mixed,1.0,detectable
target/val,Art,tent_online_mild,2,0.0208,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,conservative,2,-0.0417,0.5,0.0,mixed,1.0,detectable
target/val,Clipart,eata_episodic_aggressive,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,eata_episodic_mild,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,eata_online_aggressive,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,eata_online_mild,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,labelshift,2,-0.2083,1.0,0.0,harmful-dominated,,undetectable
target/val,Clipart,sar_episodic_aggressive,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,sar_episodic_mild,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,sar_online_aggressive,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,sar_online_mild,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,tent_episodic_aggressive,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,tent_episodic_mild,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,tent_online_aggressive,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Clipart,tent_online_mild,2,0.0,0.5,0.5,mixed,1.0,detectable
target/val,Product,conservative,2,0.0,0.0,0.0,mixed,,undetectable
target/val,Product,eata_episodic_aggressive,2,-0.1042,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,eata_episodic_mild,2,-0.1042,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,eata_online_aggressive,2,-0.0833,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,eata_online_mild,2,-0.0833,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,labelshift,2,-0.6042,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,sar_episodic_aggressive,2,-0.0833,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,sar_episodic_mild,2,-0.0833,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,sar_online_aggressive,2,-0.0833,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,sar_online_mild,2,-0.0833,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,tent_episodic_aggressive,2,-0.1042,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,tent_episodic_mild,2,-0.1042,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,tent_online_aggressive,2,-0.0833,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,tent_online_mild,2,-0.0833,1.0,0.0,harmful-dominated,,undetectable
