split,domain,candidate,n,mean_B,base_rate_harmful,frac_helpful,regime,harm_AUC,detect
source(RealWorld/val),Real_World,conservative,12,-0.0045,0.667,0.0,mixed,0.969,detectable
source(RealWorld/val),Real_World,eata_episodic_aggressive,12,-0.0103,0.583,0.0,mixed,0.829,detectable
source(RealWorld/val),Real_World,eata_episodic_mild,12,-0.0096,0.667,0.0,mixed,0.875,detectable
source(RealWorld/val),Real_World,eata_online_aggressive,12,-0.0048,0.667,0.0,mixed,0.875,detectable
source(RealWorld/val),Real_World,eata_online_mild,12,-0.001,0.5,0.0,mixed,0.833,detectable
source(RealWorld/val),Real_World,labelshift,12,-0.7394,1.0,0.0,harmful-dominated,,undetectable
source(RealWorld/val),Real_World,sar_episodic_aggressive,12,-0.0115,0.75,0.0,mixed,0.926,detectable
source(RealWorld/val),Real_World,sar_episodic_mild,12,-0.0119,0.75,0.0,mixed,0.926,detectable
source(RealWorld/val),Real_World,sar_online_aggressive,12,-0.0859,0.833,0.0,mixed,1.0,detectable
source(RealWorld/val),Real_World,sar_online_mild,12,-0.0119,0.75,0.0,mixed,0.87,detectable
source(RealWorld/val),Real_World,tent_episodic_aggressive,12,-0.009,0.583,0.0,mixed,0.829,detectable
source(RealWorld/val),Real_World,tent_episodic_mild,12,-0.0096,0.667,0.0,mixed,0.938,detectable
source(RealWorld/val),Real_World,tent_online_aggressive,12,-0.0256,0.917,0.0,harmful-dominated,1.0,detectable
source(RealWorld/val),Real_World,tent_online_mild,12,-0.0048,0.583,0.0,mixed,0.914,detectable
target/val,Art,conservative,12,-0.0077,0.75,0.0,mixed,1.0,detectable
target/val,Art,eata_episodic_aggressive,12,0.0179,0.083,0.25,helpful-dominated,1.0,detectable
target/val,Art,eata_episodic_mild,12,0.0192,0.083,0.333,helpful-dominated,1.0,detectable
target/val,Art,eata_online_aggressive,12,0.0324,0.0,0.75,helpful-dominated,,undetectable
target/val,Art,eata_online_mild,12,0.0343,0.0,0.917,helpful-dominated,,undetectable
target/val,Art,labelshift,12,-0.484,1.0,0.0,harmful-dominated,,undetectable
target/val,Art,sar_episodic_aggressive,12,0.0218,0.083,0.583,helpful-dominated,1.0,detectable
target/val,Art,sar_episodic_mild,12,0.0202,0.0,0.333,helpful-dominated,,undetectable
target/val,Art,sar_online_aggressive,12,-0.0349,0.333,0.583,mixed,1.0,detectable
target/val,Art,sar_online_mild,12,0.0308,0.083,0.833,helpful-dominated,1.0,detectable
target/val,Art,tent_episodic_aggressive,12,0.0208,0.083,0.333,helpful-dominated,1.0,detectable
target/val,Art,tent_episodic_mild,12,0.0205,0.083,0.333,helpful-dominated,1.0,detectable
target/val,Art,tent_online_aggressive,12,0.0045,0.25,0.083,mixed,1.0,detectable
target/val,Art,tent_online_mild,12,0.033,0.0,0.917,helpful-dominated,,undetectable
target/val,Clipart,conservative,12,-0.0218,1.0,0.0,harmful-dominated,,undetectable
target/val,Clipart,eata_episodic_aggressive,12,0.0372,0.0,0.917,helpful-dominated,,undetectable
target/val,Clipart,eata_episodic_mild,12,0.0359,0.0,0.917,helpful-dominated,,undetectable
target/val,Clipart,eata_online_aggressive,12,0.0375,0.0,0.75,helpful-dominated,,undetectable
target/val,Clipart,eata_online_mild,12,0.0388,0.0,0.75,helpful-dominated,,undetectable
target/val,Clipart,labelshift,12,-0.3003,1.0,0.0,harmful-dominated,,undetectable
target/val,Clipart,sar_episodic_aggressive,12,0.0359,0.0,0.75,helpful-dominated,,undetectable
target/val,Clipart,sar_episodic_mild,12,0.0349,0.0,0.75,helpful-dominated,,undetectable
target/val,Clipart,sar_online_aggressive,12,0.0019,0.25,0.5,mixed,1.0,detectable
target/val,Clipart,sar_online_mild,12,0.0369,0.0,0.75,helpful-dominated,,undetectable
target/val,Clipart,tent_episodic_aggressive,12,0.0381,0.0,0.833,helpful-dominated,,undetectable
target/val,Clipart,tent_episodic_mild,12,0.0369,0.0,0.833,helpful-dominated,,undetectable
target/val,Clipart,tent_online_aggressive,12,0.0285,0.083,0.583,helpful-dominated,1.0,detectable
target/val,Clipart,tent_online_mild,12,0.0471,0.0,0.917,helpful-dominated,,undetectable
target/val,Product,conservative,12,-0.0067,0.667,0.0,mixed,0.75,detectable
target/val,Product,eata_episodic_aggressive,12,0.0016,0.417,0.167,mixed,0.886,detectable
target/val,Product,eata_episodic_mild,12,-0.0006,0.583,0.167,mixed,0.771,detectable
target/val,Product,eata_online_aggressive,12,0.0087,0.167,0.083,mixed,0.9,detectable
target/val,Product,eata_online_mild,12,0.0087,0.167,0.167,mixed,0.9,detectable
target/val,Product,labelshift,12,-0.6128,1.0,0.0,harmful-dominated,,undetectable
target/val,Product,sar_episodic_aggressive,12,0.0003,0.5,0.167,mixed,0.806,detectable
target/val,Product,sar_episodic_mild,12,0.0,0.5,0.167,mixed,0.806,detectable
target/val,Product,sar_online_aggressive,12,-0.0939,0.5,0.0,mixed,1.0,detectable
target/val,Product,sar_online_mild,12,0.0038,0.25,0.083,mixed,1.0,detectable
target/val,Product,tent_episodic_aggressive,12,0.0003,0.417,0.0,mixed,0.8,detectable
target/val,Product,tent_episodic_mild,12,-0.0006,0.5,0.167,mixed,0.778,detectable
target/val,Product,tent_online_aggressive,12,-0.0064,0.5,0.0,mixed,0.806,detectable
target/val,Product,tent_online_mild,12,0.0074,0.167,0.083,mixed,0.85,detectable
target/TEST,Art,conservative,12,-0.0125,0.917,0.0,harmful-dominated,1.0,detectable
target/TEST,Art,eata_episodic_aggressive,12,0.0186,0.0,0.333,helpful-dominated,,undetectable
target/TEST,Art,eata_episodic_mild,12,0.0202,0.0,0.5,helpful-dominated,,undetectable
target/TEST,Art,eata_online_aggressive,12,0.0279,0.0,0.667,helpful-dominated,,undetectable
target/TEST,Art,eata_online_mild,12,0.0308,0.0,0.75,helpful-dominated,,undetectable
target/TEST,Art,labelshift,12,-0.5186,1.0,0.0,harmful-dominated,,undetectable
target/TEST,Art,sar_episodic_aggressive,12,0.0208,0.0,0.417,helpful-dominated,,undetectable
target/TEST,Art,sar_episodic_mild,12,0.0205,0.0,0.417,helpful-dominated,,undetectable
target/TEST,Art,sar_online_aggressive,12,-0.0192,0.25,0.5,mixed,1.0,detectable
target/TEST,Art,sar_online_mild,12,0.0263,0.083,0.667,helpful-dominated,1.0,detectable
target/TEST,Art,tent_episodic_aggressive,12,0.0208,0.0,0.583,helpful-dominated,,undetectable
target/TEST,Art,tent_episodic_mild,12,0.0196,0.0,0.417,helpful-dominated,,undetectable
target/TEST,Art,tent_online_aggressive,12,0.0016,0.583,0.333,mixed,0.829,detectable
target/TEST,Art,tent_online_mild,12,0.0269,0.0,0.75,helpful-dominated,,undetectable
target/TEST,Clipart,conservative,12,-0.0308,1.0,0.0,harmful-dominated,,undetectable
target/TEST,Clipart,eata_episodic_aggressive,12,0.0298,0.0,0.5,helpful-dominated,,undetectable
target/TEST,Clipart,eata_episodic_mild,12,0.0301,0.0,0.5,helpful-dominated,,undetectable
target/TEST,Clipart,eata_online_aggressive,12,0.0349,0.0,0.667,helpful-dominated,,undetectable
target/TEST,Clipart,eata_online_mild,12,0.034,0.0,0.667,helpful-dominated,,undetectable
target/TEST,Clipart,labelshift,12,-0.3231,1.0,0.0,harmful-dominated,,undetectable
target/TEST,Clipart,sar_episodic_aggressive,12,0.0276,0.083,0.417,helpful-dominated,1.0,detectable
target/TEST,Clipart,sar_episodic_mild,12,0.0279,0.0,0.5,helpful-dominated,,undetectable
target/TEST,Clipart,sar_online_aggressive,12,0.0003,0.333,0.333,mixed,1.0,detectable
target/TEST,Clipart,sar_online_mild,12,0.0298,0.0,0.583,helpful-dominated,,undetectable
target/TEST,Clipart,tent_episodic_aggressive,12,0.0356,0.0,0.667,helpful-dominated,,undetectable
target/TEST,Clipart,tent_episodic_mild,12,0.033,0.0,0.667,helpful-dominated,,undetectable
target/TEST,Clipart,tent_online_aggressive,12,0.0099,0.417,0.417,mixed,0.8,detectable
target/TEST,Clipart,tent_online_mild,12,0.0356,0.0,0.583,helpful-dominated,,undetectable
target/TEST,Product,conservative,12,-0.0103,0.583,0.0,mixed,1.0,detectable
target/TEST,Product,eata_episodic_aggressive,12,0.009,0.25,0.25,mixed,0.852,detectable
target/TEST,Product,eata_episodic_mild,12,0.0083,0.25,0.167,mixed,0.815,detectable
target/TEST,Product,eata_online_aggressive,12,0.0144,0.0,0.083,helpful-dominated,,undetectable
target/TEST,Product,eata_online_mild,12,0.016,0.0,0.083,helpful-dominated,,undetectable
target/TEST,Product,labelshift,12,-0.6279,1.0,0.0,harmful-dominated,,undetectable
target/TEST,Product,sar_episodic_aggressive,12,0.0054,0.25,0.0,mixed,0.815,detectable
target/TEST,Product,sar_episodic_mild,12,0.0067,0.25,0.167,mixed,0.778,detectable
target/TEST,Product,sar_online_aggressive,12,-0.0737,0.5,0.0,mixed,1.0,detectable
target/TEST,Product,sar_online_mild,12,0.0087,0.083,0.083,helpful-dominated,1.0,detectable
target/TEST,Product,tent_episodic_aggressive,12,0.0071,0.333,0.167,mixed,0.812,detectable
target/TEST,Product,tent_episodic_mild,12,0.0067,0.25,0.167,mixed,0.815,detectable
target/TEST,Product,tent_online_aggressive,12,-0.0093,0.583,0.0,mixed,0.857,detectable
target/TEST,Product,tent_online_mild,12,0.0135,0.0,0.167,helpful-dominated,,undetectable
