Metric,Value
autoencoder_roc_auc,0.5148819440872527
autoencoder_pr_auc,0.16048469223651707
autoencoder_f1,0.11360634081902246
autoencoder_precision,0.23243243243243245
autoencoder_recall,0.07517482517482517
autoencoder_accuracy,0.8185996215193295
autoencoder_balanced_accuracy,0.5148819440872526
autoencoder_mcc,0.04937019884751499
autoencoder_cohen_kappa,0.04113342731300673
autoencoder_brier,0.18140037848067045
autoencoder_ece,0.14301162476344959
autoencoder_tp,43.0
autoencoder_fp,142.0
autoencoder_tn,2985.0
autoencoder_fn,529.0
autoencoder_tpr_at_fpr,0.07517482517482517
autoencoder_threshold_at_fpr,1.0
autoencoder_fpr,0.0454109370003198
autoencoder_decision_threshold,0.5
autoencoder_threshold,0.004674259741265792
lof_roc_auc,0.5241881559438323
lof_pr_auc,0.16613136029194425
lof_f1,0.13738441215323646
lof_precision,0.2810810810810811
lof_recall,0.09090909090909091
lof_accuracy,0.8234658015679913
lof_balanced_accuracy,0.5241881559438323
lof_mcc,0.08024314979953373
lof_cohen_kappa,0.06685563045513176
lof_brier,0.17653419843200865
lof_ece,0.1405785347391187
lof_tp,52.0
lof_fp,133.0
lof_tn,2994.0
lof_fn,520.0
lof_tpr_at_fpr,0.09090909090909091
lof_threshold_at_fpr,1.0
lof_fpr,0.042532779021426284
lof_decision_threshold,0.5
lof_threshold,1.4380444740933664
